Date,Open,High,Low,Close,Volume
2023-01-01,1800.00,1820.00,1790.00,1810.00,500000
2023-01-02,1810.00,1830.00,1800.00,1825.00,550000
2023-01-03,1825.00,1840.00,1815.00,1835.00,520000
2023-01-04,1835.00,1850.00,1825.00,1845.00,580000
2023-01-05,1845.00,1860.00,1835.00,1855.00,560000
2023-01-06,1855.00,1870.00,1845.00,1865.00,590000
2023-01-07,1865.00,1880.00,1855.00,1875.00,570000
2023-01-08,1875.00,1890.00,1865.00,1885.00,610000
2023-01-09,1885.00,1900.00,1875.00,1895.00,600000
2023-01-10,1895.00,1910.00,1885.00,1905.00,620000
